Wilayah,Mobil,Bus,Truk,Motor
Bogor,206991,1164,51998,1564636
Sukabumi,48087,497,21356,504038
Cianjur,43792,618,19504,438540
Bandung,137350,1082,39054,984467
Garut,41619,920,17173,413814
Tasikmalaya,26463,615,11664,300576
Ciamis,26862,817,12109,252648
Kuningan,31358,550,9479,322209
Cirebon,60855,1359,24843,691753
Majalengka,28044,826,12212,341556
Sumedang,28429,346,10168,290908
Indramayu,42251,800,18028,491823
Subang,37546,454,13420,414350
Purwakarta,36229,328,11424,277942
Karawang,107694,1490,31669,778709
Bekasi,252025,4023,64393,1302238
Bandung Barat,77131,582,22290,565603
Pangandaran,8167,53,4682,80498
Kota Bogor,97652,628,11690,374932
Kota Sukabumi,20030,403,4995,98481
Kota Bandung,374341,6051,63745,1083002
Kota Cirebon,30703,456,11886,127693
Kota Bekasi,320873,2724,56341,1153053
Kota Depok,214170,918,20114,992944
Kota Cimahi,47767,258,6433,238144
Kota Tasikmalaya,31429,1206,12866,206376
Kota Banjar,6316,59,2388,57056
